closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume,open_interest
1750698000060,-2.42318e-05,-0.21227056800000002,-0.000693854,101356.0,100647.0,10257.79727,
1750701600057,1.25e-05,0.10950000000000001,-0.0002901364,100647.0,102467.0,10441.1841,
1750705200136,1.25e-05,0.10950000000000001,-0.000386884,102466.0,102870.0,4105.18077,
1750708800113,1.18842e-05,0.10410559200000001,-0.0004049263,102870.0,103127.0,1685.81546,
1750712400002,1.25e-05,0.10950000000000001,-0.0002430383,103127.0,103715.0,4332.69858,
1750716000022,1.12474e-05,0.09852722400000001,-0.0004100204,103715.0,103631.0,2240.91917,
1750719600081,1.25e-05,0.10950000000000001,-8.2946e-05,103631.0,105559.0,14074.42696,
1750723200086,1.25e-05,0.10950000000000001,-0.0001518122,105558.0,105329.0,2552.08008,
1750726800030,1.25e-05,0.10950000000000001,-0.0003671335,105326.0,105093.0,1409.45469,
1750730400012,1.25e-05,0.10950000000000001,-0.0003387896,105092.0,105406.0,1030.96615,
1750734000058,1.07253e-05,0.09395362800000001,-0.0004141976,105406.0,104709.0,2166.7102,
1750737600011,9.2475e-06,0.0810081,-0.0004260201,104708.0,104887.0,1414.26629,
1750741200057,3.6677e-06,0.032129052,-0.0004706586,104887.0,104771.0,978.73859,
1750744800021,1.25e-05,0.10950000000000001,-0.0003616514,104771.0,105360.0,1114.01567,
1750748400020,1.25e-05,0.10950000000000001,-0.0002799435,105360.0,105628.0,1379.21963,
1750752000005,1.25e-05,0.10950000000000001,-0.0003005897,105629.0,104927.0,2453.57566,
1750755600035,-5.2154e-06,-0.045686904,-0.0005417232,104926.0,104944.0,3421.5361,
1750759200047,1.25e-05,0.10950000000000001,-0.0003207505,104944.0,105162.0,2069.8385,
1750762800024,1.25e-05,0.10950000000000001,-0.0003401797,105162.0,105236.0,470.97546,
1750766400039,1.25e-05,0.10950000000000001,-0.000311131,105237.0,105138.0,802.95319,
1750770000075,1.25e-05,0.10950000000000001,-0.0002763564,105139.0,105170.0,991.6017,
1750773600000,9.4252e-06,0.08256475200000002,-0.0004245981,105171.0,105017.0,2257.53871,
1750777200070,-1.10404e-05,-0.09671390399999999,-0.0005883229,105017.0,105451.0,2112.52891,
1750780800015,-1.24009e-05,-0.10863188400000001,-0.0005992074,105451.0,105186.0,1172.04157,
1750784400052,5.3664e-06,0.047009664,-0.0004570684,105186.0,106181.0,2155.199,
1750788000069,6.9568e-06,0.060941567999999995,-0.0004443453,106181.0,105993.0,2685.62957,
1750791600043,-3.7184e-06,-0.032573184,-0.0005297471,105992.0,105469.0,903.88679,
1750795200020,-2.69e-06,-0.023564400000000003,-0.0005215198,105470.0,105615.0,1057.36665,
1750798800117,1.031e-05,0.0903156,-0.0004175201,105608.0,106043.0,1353.89888,
1750802400021,3.6058e-06,0.031586807999999994,-0.0004711533,106043.0,105947.0,491.39957,
1750806000016,-3.2096e-06,-0.028116096,-0.0005256771,105947.0,105965.0,555.86039,
1750809600046,-3.0005e-06,-0.02628438,-0.0005240037,105964.0,106052.0,566.55629,
1750813200024,1.9394e-06,0.016989143999999998,-0.0004844851,106052.0,106346.0,2394.02681,
1750816800044,6.029e-06,0.05281404000000001,-0.0004517676,106345.0,106333.0,1433.27805,
1750820400022,9.9574e-06,0.08722682400000001,-0.0004203404,106333.0,106432.0,934.96712,
1750824000021,6.6792e-06,0.058509792,-0.0004465661,106433.0,106183.0,344.36523,
1750827600108,1.25e-05,0.10950000000000001,-0.00039658,106184.0,106158.0,888.14834,
1750831200081,1.25e-05,0.10950000000000001,-0.0003482751,106158.0,106170.0,388.83083,
1750834800014,1.25e-05,0.10950000000000001,-0.0003900686,106170.0,106360.0,333.3239,
1750838400049,1.25e-05,0.10950000000000001,-0.0003634296,106360.0,106592.0,1115.3979,
1750842000056,1.25e-05,0.10950000000000001,-0.0002894812,106592.0,106610.0,940.42161,
1750845600018,1.25e-05,0.10950000000000001,-0.0001372376,106610.0,106620.0,2369.54924,
1750849200047,1.25e-05,0.10950000000000001,-0.0002023259,106620.0,107087.0,1045.42846,
1750852800014,1.25e-05,0.10950000000000001,-0.0003439984,107087.0,107155.0,690.81623,
1750856400113,1.25e-05,0.10950000000000001,-0.0002935136,107156.0,107197.0,779.36883,
1750860000133,1.25e-05,0.10950000000000001,-0.0002136893,107198.0,107902.0,3942.69144,
1750863600058,1.25e-05,0.10950000000000001,-0.0002214686,107902.0,107584.0,4037.62188,
1750867200058,1.25e-05,0.10950000000000001,-0.000293936,107586.0,106988.0,4105.3097,
1750870800041,7.9101e-06,0.069292476,-0.0004367194,106989.0,107093.0,1490.54058,
1750874400042,-2.891e-06,-0.02532516,-0.0005231283,107093.0,107352.0,1557.23875,
1750878000007,7.1099e-06,0.062282724,-0.0004431207,107352.0,107349.0,1099.16574,
1750881600067,6.9813e-06,0.061156188,-0.0004441495,107349.0,107703.0,1573.05923,
1750885200026,1.25e-05,0.10950000000000001,-0.0003425347,107703.0,107769.0,759.68949,
1750888800007,1.25e-05,0.10950000000000001,-0.0002306701,107770.0,107531.0,1163.14125,
1750892400042,1.25e-05,0.10950000000000001,-0.0003158438,107530.0,107245.0,611.974,
1750896000101,3.9892e-06,0.034945392,-0.0004680868,107245.0,107281.0,912.63402,
1750899600002,-2.5071e-06,-0.021962196,-0.0005200571,107280.0,107250.0,459.46798,
1750903200017,1.2994e-06,0.011382744,-0.0004896048,107250.0,107589.0,1419.22856,
1750906800038,1.25e-05,0.10950000000000001,-0.0003826795,107589.0,107881.0,1057.36454,
1750910400069,1.25e-05,0.10950000000000001,-0.0002068371,107882.0,107827.0,1116.70432,
1750914000068,1.25e-05,0.10950000000000001,-0.0001625516,107827.0,107813.0,466.72397,
1750917600042,1.25e-05,0.10950000000000001,-0.0001038913,107813.0,107621.0,682.45735,
1750921200020,1.25e-05,0.10950000000000001,-0.0001278481,107620.0,107753.0,249.63991,
1750924800086,1.25e-05,0.10950000000000001,6.439e-06,107752.0,107812.0,751.79962,
1750928400030,1.25e-05,0.10950000000000001,-0.0002823621,107811.0,107706.0,1471.3048,
1750932000107,1.25e-05,0.10950000000000001,-0.0003645525,107706.0,107280.0,1302.89079,
1750935600055,1.25e-05,0.10950000000000001,-0.0003418902,107281.0,107355.0,288.72694,
1750939200037,1.25e-05,0.10950000000000001,-0.0003837378,107356.0,107299.0,712.2603,
1750942800035,1.25e-05,0.10950000000000001,-0.0003372354,107299.0,107079.0,839.72309,
1750946400041,1.25e-05,0.10950000000000001,-0.0002973111,107079.0,106940.0,1290.39055,
1750950000057,1.25e-05,0.10950000000000001,-0.0003043465,106937.0,107372.0,2377.65437,
1750953600035,3.411e-06,0.02988036,-0.0004727118,107372.0,107260.0,2095.23839,
1750957200006,-1.7533e-06,-0.015358908000000001,-0.0005140262,107263.0,107147.0,688.54193,
1750960800019,-3.1315e-06,-0.02743194,-0.0005250523,107147.0,107135.0,627.2614,
1750964400032,7.9779e-06,0.069886404,-0.0004361765,107134.0,107347.0,915.67248,
1750968000060,1.13084e-05,0.099061584,-0.0004095328,107346.0,107473.0,538.10771,
1750971600003,1.25e-05,0.10950000000000001,-0.0003920944,107474.0,107729.0,1682.18848,
1750975200030,-1.93145e-05,-0.16919502,-0.0006545161,107729.0,106951.0,3604.22222,
1750978800100,-2.54375e-05,-0.22283250000000002,-0.0007035004,106950.0,106915.0,748.799,
1750982400045,-2.29354e-05,-0.200914104,-0.0006834834,106915.0,106878.0,692.96245,
1750986000051,-2.68806e-05,-0.23547405600000001,-0.0007150447,106878.0,106594.0,1120.41476,
1750989600002,-2.36375e-05,-0.20706449999999998,-0.0006891003,106594.0,107056.0,1245.81525,
1750993200058,-2.15474e-05,-0.188755224,-0.000672379,107055.0,107182.0,425.32478,
1750996800075,-1.90708e-05,-0.16706020800000002,-0.0006525661,107181.0,107403.0,725.61188,
1751000400053,-1.22498e-05,-0.107308248,-0.0005979987,107402.0,107444.0,394.34766,
1751004000022,-7.9174e-06,-0.069356424,-0.0005633389,107443.0,107211.0,207.58423,
1751007600039,-4.292e-06,-0.03759792,-0.0005343357,107210.0,107239.0,274.07485,
1751011200094,1.8793e-06,0.016462668,-0.0004849658,107238.0,106821.0,879.20392,
1751014800074,-1.26845e-05,-0.11111622000000002,-0.0006014763,106820.0,106955.0,2489.14588,
1751018400062,1.25e-05,0.10950000000000001,-0.0003919841,106955.0,107051.0,805.01587,
1751022000077,4.0396e-06,0.035386896,-0.0004676829,107051.0,106934.0,416.8214,
1751025600089,-6.3647e-06,-0.055754772,-0.0005509173,106933.0,106912.0,337.34174,
1751029200012,5.1494e-06,0.045108744,-0.0004588047,106911.0,106639.0,1383.53581,
1751032800134,8.1021e-06,0.07097439600000001,-0.0004351835,106638.0,106778.0,1007.95695,
1751036400057,1.25e-05,0.10950000000000001,-0.0003339437,106778.0,106525.0,1791.00266,
1751040000002,1.25e-05,0.10950000000000001,-0.0003547449,106525.0,107296.0,3597.43659,
1751043600040,1.25e-05,0.10950000000000001,-0.0001662091,107296.0,107464.0,2141.47065,
1751047200028,1.25e-05,0.10950000000000001,-0.0001757948,107464.0,106850.0,1687.02779,
1751050800055,1.25e-05,0.10950000000000001,-0.0002033445,106850.0,106678.0,1047.34989,
1751054400010,1.25e-05,0.10950000000000001,-0.0003225659,106677.0,106796.0,1105.88121,
1751058000128,1.25e-05,0.10950000000000001,-0.0001994644,106796.0,107097.0,552.88023,
1751061600049,1.25e-05,0.10950000000000001,-0.0001363208,107098.0,107029.0,1041.21547,
1751065200026,1.25e-05,0.10950000000000001,-0.0001706189,107028.0,107089.0,200.14059,
1751068800061,1.25e-05,0.10950000000000001,-0.000133526,107089.0,107020.0,354.94451,
1751072400002,1.25e-05,0.10950000000000001,-0.0002213873,107022.0,107039.0,539.29603,
1751076000050,1.25e-05,0.10950000000000001,-0.0002191779,107039.0,107039.0,294.81515,
1751079600018,1.25e-05,0.10950000000000001,-0.0002331622,107039.0,107065.0,324.59644,
1751083200012,1.25e-05,0.10950000000000001,-0.0002508293,107066.0,107283.0,244.74673,
1751086800027,1.25e-05,0.10950000000000001,-0.0003481383,107284.0,107140.0,326.9849,
1751090400009,1.17692e-05,0.103098192,-0.0004058463,107141.0,107255.0,172.87079,
1751094000061,1.25e-05,0.10950000000000001,-0.0003695962,107256.0,107363.0,346.63021,
1751097600029,1.10867e-05,0.09711949199999999,-0.0004113066,107363.0,107449.0,227.39355,
1751101200080,9.2881e-06,0.081363756,-0.0004256952,107448.0,107333.0,150.99592,
1751104800063,4.623e-06,0.040497479999999995,-0.0004630159,107334.0,107258.0,173.31825,
1751108400015,6.478e-06,0.05674727999999999,-0.0004481756,107258.0,107214.0,150.52095,
1751112000033,5.7544e-06,0.050408544,-0.0004539652,107214.0,107328.0,69.50509,
1751115600035,3.7979e-06,0.033269604,-0.0004696167,107328.0,107303.0,152.30292,
1751119200069,1.25e-05,0.10950000000000001,-0.0003546042,107303.0,107075.0,262.28439,
1751122800038,1.25e-05,0.10950000000000001,-0.0003630452,107075.0,107154.0,170.35909,
1751126400129,1.23249e-05,0.107966124,-0.0004014008,107153.0,107399.0,357.5528,
1751130000012,1.25e-05,0.10950000000000001,-0.0003624997,107399.0,107253.0,442.25869,
1751133600074,1.25e-05,0.10950000000000001,-0.0002715904,107254.0,107445.0,323.53463,
1751137200062,1.25e-05,0.10950000000000001,-0.0002283277,107445.0,107306.0,240.84635,
1751140800031,1.25e-05,0.10950000000000001,-0.0001803347,107306.0,107191.0,149.02219,
1751144400032,1.25e-05,0.10950000000000001,-0.000267342,107191.0,107152.0,254.16383,
1751148000098,1.25e-05,0.10950000000000001,-0.0001904632,107153.0,107308.0,79.42936,
1751151600026,1.25e-05,0.10950000000000001,-9.59191e-05,107308.0,107365.0,108.65913,
1751155200019,1.25e-05,0.10950000000000001,-0.0001407328,107366.0,107276.0,111.25937,
1751158800121,1.25e-05,0.10950000000000001,-0.0001082678,107276.0,107461.0,415.03495,
1751162400018,1.25e-05,0.10950000000000001,-2.50688e-05,107462.0,107311.0,167.09881,
1751166000058,1.25e-05,0.10950000000000001,-9.8628e-06,107311.0,107295.0,125.22193,
1751169600046,1.25e-05,0.10950000000000001,9.8138e-06,107296.0,107208.0,91.46424,
1751173200092,1.25e-05,0.10950000000000001,-2.5532e-06,107209.0,107252.0,115.07424,
1751176800009,1.25e-05,0.10950000000000001,-5.91418e-05,107252.0,107312.0,139.9488,
1751180400042,1.25e-05,0.10950000000000001,-0.0001135068,107311.0,107340.0,157.08802,
1751184000036,1.25e-05,0.10950000000000001,-0.0001751131,107340.0,107351.0,61.72958,
1751187600036,1.25e-05,0.10950000000000001,-0.0001511564,107352.0,107673.0,542.17176,
1751191200076,1.25e-05,0.10950000000000001,-5.4727e-06,107672.0,107899.0,1191.74454,
1751194800049,1.25e-05,0.10950000000000001,0.0001277042,107900.0,108165.0,1756.01018,
1751198400033,1.25e-05,0.10950000000000001,0.0001485162,108167.0,108494.0,751.83122,
1751202000061,1.25e-05,0.10950000000000001,9.45637e-05,108494.0,108205.0,1079.88341,
1751205600001,1.25e-05,0.10950000000000001,0.0001376488,108205.0,108073.0,465.41073,
1751209200052,1.25e-05,0.10950000000000001,0.0001412333,108073.0,107935.0,1294.58515,
1751212800060,1.25e-05,0.10950000000000001,-0.0002561524,107935.0,107704.0,1082.49277,
1751216400066,9.8393e-06,0.08619226800000002,-0.0004212857,107705.0,107511.0,1178.81121,
1751220000047,1.104e-07,0.000967104,-0.000499117,107512.0,107489.0,749.61115,
1751223600122,-1.0248e-06,-0.008977247999999998,-0.000508198,107488.0,107578.0,598.39519,
1751227200049,1.6461e-06,0.014419836,-0.0004868311,107578.0,107353.0,677.85413,
1751230800068,1.25e-05,0.10950000000000001,-0.0003932504,107353.0,107328.0,162.65264,
1751234400016,1.14811e-05,0.10057443599999999,-0.0004081513,107329.0,107519.0,439.29559,
1751238000017,1.25e-05,0.10950000000000001,-0.000245984,107518.0,108048.0,1112.36687,
1751241600062,1.25e-05,0.10950000000000001,-0.0002749576,108048.0,108321.0,1096.33892,
1751245200028,1.25e-05,0.10950000000000001,-0.0003252121,108322.0,108671.0,1299.75511,
1751248800062,1.25e-05,0.10950000000000001,-0.0002718196,108672.0,108457.0,892.78983,
1751252400034,1.25e-05,0.10950000000000001,-0.0002039925,108458.0,108439.0,704.78849,
1751256000049,1.25e-05,0.10950000000000001,-0.0001540318,108440.0,108488.0,460.30155,
1751259600040,1.25e-05,0.10950000000000001,-0.0001677324,108489.0,108300.0,201.98616,
1751263200058,1.25e-05,0.10950000000000001,-0.0002509894,108301.0,108261.0,310.81454,
1751266800011,1.25e-05,0.10950000000000001,-0.0003360632,108262.0,107488.0,2592.51758,
1751270400035,-3.1811e-06,-0.027866436,-0.000525449,107489.0,107574.0,938.05939,
1751274000077,5.9406e-06,0.052039656,-0.0004524754,107575.0,107458.0,564.80612,
1751277600008,1.19742e-05,0.104893992,-0.0004042061,107459.0,107451.0,441.21055,
1751281200026,1.25e-05,0.10950000000000001,-0.0002885845,107452.0,107606.0,402.45414,
1751284800051,1.25e-05,0.10950000000000001,-0.0002480652,107607.0,107619.0,981.44373,
1751288400038,1.25e-05,0.10950000000000001,-0.0003130477,107620.0,107545.0,236.37753,
1751292000068,1.25e-05,0.10950000000000001,-0.0002092638,107546.0,107502.0,546.39488,
1751295600010,1.25e-05,0.10950000000000001,-0.0001874887,107502.0,106760.0,2321.88552,
1751299200014,1.25e-05,0.10950000000000001,-0.0001713507,106760.0,107563.0,2091.03575,
1751302800035,1.25e-05,0.10950000000000001,-0.0001863858,107564.0,107581.0,1193.4641,
1751306400047,1.25e-05,0.10950000000000001,-0.0001730817,107582.0,107447.0,502.33305,
1751310000009,1.25e-05,0.10950000000000001,-0.0002543137,107447.0,107224.0,693.723,
1751313600048,1.25e-05,0.10950000000000001,-0.0001933752,107224.0,107850.0,2016.6268,
