closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1749722400077,1.25e-05,0.10950000000000001,-0.000322662,2.2429,2.2447,218211.0
1749726000028,1.25e-05,0.10950000000000001,-0.0003238198,2.2445,2.2381,708417.0
1749729600029,1.25e-05,0.10950000000000001,-0.0003409347,2.2375,2.2247,4009989.0
1749733200033,1.25e-05,0.10950000000000001,-0.0003043147,2.2253,2.2331,2311329.0
1749736800050,1.25e-05,0.10950000000000001,-0.0002394023,2.2332,2.2442,2705359.0
1749740400041,1.25e-05,0.10950000000000001,-0.0001575368,2.2447,2.2483,1782674.0
1749744000065,1.25e-05,0.10950000000000001,-7.65246e-05,2.2481,2.2283,3140490.0
1749747600050,1.25e-05,0.10950000000000001,-0.0001909264,2.2279,2.2427,1332592.0
1749751200038,1.25e-05,0.10950000000000001,-8.57641e-05,2.2427,2.2521,616069.0
1749754800005,1.25e-05,0.10950000000000001,-0.0001327791,2.2521,2.2381,1190126.0
1749758400034,1.25e-05,0.10950000000000001,-0.0002034832,2.2377,2.2029,4815326.0
1749762000020,1.25e-05,0.10950000000000001,-0.0003138297,2.2028,2.1832,10712041.0
1749765600002,1.25e-05,0.10950000000000001,-0.0001990725,2.1832,2.1891,3794443.0
1749769200085,1.25e-05,0.10950000000000001,-0.0003375734,2.1908,2.1863,1182054.0
1749772800071,1.25e-05,0.10950000000000001,-0.0002784441,2.1866,2.1892,1120391.0
1749776400021,6.2251e-06,0.054531876,-0.0004501989,2.1893,2.1253,15286789.0
1749780000052,6e-06,0.05256,-0.0004520001,2.1252,2.1097,9416386.0
1749783600055,-2.145e-07,-0.00187902,-0.0005017159,2.1095,2.1004,2741286.0
1749787200055,2.751e-07,0.002409876,-0.0004977991,2.1005,2.1241,3541361.0
1749790800019,6.058e-07,0.005306808,-0.0004951534,2.1244,2.1219,2073716.0
1749794400076,-6.606e-07,-0.005786855999999999,-0.0005052846,2.1219,2.1118,1183043.0
1749798000070,-4.922e-06,-0.04311672,-0.0005393762,2.1118,2.1174,5050019.0
1749801600018,-1.03336e-05,-0.09052233600000001,-0.0005826688,2.1171,2.1281,1117468.0
1749805200004,1.4147e-06,0.012392772,-0.0004886826,2.1281,2.1347,12882643.0
1749808800049,1.25e-05,0.10950000000000001,-0.0003889159,2.1346,2.1312,2928222.0
1749812400043,1.25e-05,0.10950000000000001,-0.0003328542,2.132,2.1462,3029568.0
1749816000027,1.25e-05,0.10950000000000001,-0.0003837011,2.1457,2.1532,680474.0
1749819600058,1.25e-05,0.10950000000000001,-0.0003029111,2.1541,2.1497,1034487.0
1749823200063,1.25e-05,0.10950000000000001,-0.0002460544,2.1497,2.1381,1465036.0
1749826800029,1.25e-05,0.10950000000000001,-0.0003583782,2.1395,2.1394,5670118.0
1749830400040,1.25e-05,0.10950000000000001,-0.0002819615,2.1397,2.1444,2524236.0
1749834000020,1.25e-05,0.10950000000000001,-0.0002977008,2.1468,2.1528,2810343.0
1749837600083,1.25e-05,0.10950000000000001,-0.0003688082,2.152,2.1463,2790235.0
1749841200092,1.17804e-05,0.103196304,-0.0004057564,2.1461,2.1327,3635518.0
1749844800037,1.25e-05,0.10950000000000001,-0.0002555829,2.1326,2.1212,4834606.0
1749848400004,1.25e-05,0.10950000000000001,-0.0003448972,2.1213,2.1403,1765681.0
1749852000162,1.25e-05,0.10950000000000001,-0.0002251337,2.1405,2.1375,846128.0
1749855600009,1.25e-05,0.10950000000000001,-0.0003504438,2.139,2.1397,1773431.0
1749859200047,1.23934e-05,0.108566184,-0.0004008531,2.1398,2.1474,746002.0
1749862800084,1.25e-05,0.10950000000000001,-0.0003564663,2.1467,2.1383,769293.0
1749866400075,1.25e-05,0.10950000000000001,-0.0003427731,2.1391,2.1386,940046.0
1749870000035,1.25e-05,0.10950000000000001,-0.0002559062,2.1392,2.1407,925416.0
1749873600008,1.25e-05,0.10950000000000001,-0.0002222826,2.1411,2.1586,2660281.0
1749877200037,1.25e-05,0.10950000000000001,-0.0002304948,2.1593,2.1627,1259041.0
1749880800047,1.25e-05,0.10950000000000001,-0.000318705,2.163,2.1569,760184.0
1749884400013,1.25e-05,0.10950000000000001,-0.0003781497,2.1569,2.1547,174648.0
1749888000182,1.25e-05,0.10950000000000001,-0.000334495,2.155,2.1648,156135.0
1749891600007,1.25e-05,0.10950000000000001,-0.0002491683,2.1643,2.1726,2033913.0
1749895200013,1.25e-05,0.10950000000000001,-0.0002040029,2.1726,2.1652,565185.0
1749898800012,1.25e-05,0.10950000000000001,-0.0002781887,2.1646,2.169,225251.0
1749902400033,1.25e-05,0.10950000000000001,-0.0002824364,2.1701,2.1761,117071.0
1749906000004,1.25e-05,0.10950000000000001,-0.0002777161,2.1758,2.1718,279969.0
1749909600010,7.9964e-06,0.070048464,-0.0004360287,2.1718,2.1639,2710753.0
1749913200001,2.6561e-06,0.023267436,-0.0004787511,2.1641,2.1634,334692.0
1749916800021,8.4143e-06,0.07370926800000001,-0.0004326858,2.1645,2.1488,2813116.0
1749920400013,8.4409e-06,0.073942284,-0.000432473,2.1483,2.1233,2268719.0
1749924000012,1.4624e-06,0.012810624,-0.0004883011,2.1231,2.1294,1523031.0
1749927600061,-4.3626e-06,-0.038216376,-0.0005349011,2.1295,2.1267,2595829.0
1749931200043,5.3424e-06,0.046799424000000006,-0.0004572605,2.1261,2.1236,3531463.0
1749934800044,-1.07489e-05,-0.094160364,-0.0005859912,2.1231,2.1268,4185758.0
1749938400032,1.0065e-05,0.0881694,-0.0004194802,2.1264,2.1373,1026546.0
1749942000017,1.25e-05,0.10950000000000001,-0.0003884742,2.1367,2.1377,1647724.0
1749945600102,1.25e-05,0.10950000000000001,-0.0003894155,2.1378,2.1383,1127975.0
1749949200119,1.18281e-05,0.10361415599999999,-0.0004053751,2.139,2.1468,628497.0
1749952800164,7.3741e-06,0.064597116,-0.000441007,2.1468,2.1418,246651.0
1749956400032,1.19398e-05,0.10459264800000001,-0.0004044814,2.1419,2.1452,286353.0
1749960000040,1.25e-05,0.10950000000000001,-0.0003636278,2.1452,2.1519,195034.0
1749963600095,1.25e-05,0.10950000000000001,-0.0003156629,2.1522,2.1579,848652.0
1749967200052,1.25e-05,0.10950000000000001,-0.0002520159,2.1582,2.1601,343314.0
1749970800018,1.25e-05,0.10950000000000001,-0.0003649811,2.1601,2.1519,836120.0
1749974400021,1.25e-05,0.10950000000000001,-0.0003282219,2.1519,2.1508,1067228.0
1749978000016,1.25e-05,0.10950000000000001,-0.000300565,2.1507,2.1533,373833.0
1749981600032,1.25e-05,0.10950000000000001,-0.000371916,2.1534,2.1545,975089.0
1749985200032,1.25e-05,0.10950000000000001,-0.0003649254,2.1548,2.1622,212211.0
1749988800126,1.25e-05,0.10950000000000001,-0.0003869408,2.1621,2.1571,599215.0
1749992400030,1.25e-05,0.10950000000000001,-0.0003585813,2.1573,2.1637,229664.0
1749996000056,1.25e-05,0.10950000000000001,-0.0003423877,2.1636,2.1701,1034160.0
1749999600041,1.25e-05,0.10950000000000001,-0.0002990134,2.1705,2.1723,1009858.0
1750003200130,1.25e-05,0.10950000000000001,-0.0002793978,2.1724,2.1634,754959.0
1750006800045,1.25e-05,0.10950000000000001,-0.0003228253,2.164,2.1656,292152.0
1750010400022,1.25e-05,0.10950000000000001,-0.0002803405,2.1659,2.1686,370604.0
1750014000071,1.25e-05,0.10950000000000001,-0.0003717135,2.1685,2.1654,318689.0
1750017600032,1.1557e-05,0.10123932000000001,-0.0004075436,2.1657,2.163,549232.0
1750021200007,-7.7e-08,-0.00067452,-0.000500616,2.163,2.1459,2275985.0
1750024800017,1.4316e-06,0.012540816,-0.0004885473,2.1454,2.1577,467321.0
1750028400037,1.2432e-05,0.10890432000000001,-0.0004005442,2.1572,2.1645,932371.0
1750032000076,8.4802e-06,0.074286552,-0.0004321583,2.1646,2.1646,509793.0
1750035600049,2.7445e-06,0.02404182,-0.0004780437,2.1646,2.1653,433100.0
1750039200073,2.9255e-06,0.025627379999999998,-0.0004765963,2.1657,2.173,946704.0
1750042800020,1.25e-05,0.10950000000000001,-0.0003766089,2.1724,2.1725,3244744.0
1750046400041,1.25e-05,0.10950000000000001,-0.0003292107,2.1725,2.1717,541813.0
1750050000097,1.25e-05,0.10950000000000001,-0.00022953,2.1721,2.1771,4916667.0
1750053600023,1.25e-05,0.10950000000000001,-0.0002990061,2.1771,2.1811,4426134.0
1750057200083,1.25e-05,0.10950000000000001,-0.0001492332,2.1811,2.1808,2266740.0
1750060800052,1.25e-05,0.10950000000000001,-7.65644e-05,2.1811,2.203,1414415.0
1750064400029,1.25e-05,0.10950000000000001,-4.18501e-05,2.203,2.2016,827816.0
1750068000078,1.25e-05,0.10950000000000001,-2.78005e-05,2.2016,2.1991,300110.0
1750071600015,1.25e-05,0.10950000000000001,-2.60292e-05,2.1996,2.2097,1098328.0
1750075200104,1.25e-05,0.10950000000000001,-6.42791e-05,2.2096,2.2458,2640955.0
1750078800089,1.25e-05,0.10950000000000001,-0.0001218217,2.2459,2.2477,3614363.0
1750082400039,1.25e-05,0.10950000000000001,-4.50729e-05,2.2477,2.2596,1533208.0
1750086000038,1.25e-05,0.10950000000000001,7.45641e-05,2.2593,2.281,7654578.0
1750089600043,1.25e-05,0.10950000000000001,7.8154e-06,2.2809,2.2895,2414830.0
1750093200011,1.25e-05,0.10950000000000001,0.0001387995,2.2897,2.3105,5599166.0
1750096800037,1.25e-05,0.10950000000000001,0.0001420236,2.3106,2.3087,1783086.0
1750100400001,1.25e-05,0.10950000000000001,0.0001550707,2.3086,2.325,3147982.0
1750104000000,1.25e-05,0.10950000000000001,0.0001227349,2.3248,2.3358,2143876.0
1750107600037,1.25e-05,0.10950000000000001,0.0001204794,2.3359,2.3196,2344308.0
